Name;Value;Language
"abt__ut2.banner.params.youtube_autoplay.tooltip";"Due to changes in <b>Google's</b> policy, autoplay will only be available without sound. For more information, see <a href='https://developers.google.com/web/updates/2017/09/autoplay-policy-changes' target='_blank'>documentation</a>.<b>Google</b> strongly recommends that the player's control panel should be displayed on autoplay.";"ar"
"abt__ut2.banner.params.youtube_hide_controls";"Hide player control elements";"ar"
"abt__ut2.banner.params.youtube_hide_controls.tooltip";"Don't ever assume a video will play, and don't show a pause button when the video is not actually playing";"ar"
"abt__ut2.banner.params.youtube_id";"YouTube video ID";"ar"
"abt__ut2.banner.params.youtube_id.tooltip";"Specify either full URL https://www.youtube.com/watch?v=abcd1234567 or ID video <b>abcd1234567</b>";"ar"
"abt__ut2.banner.params.youtube_use";"Add YouTube video";"ar"
"abt__ut2.banner.params_additional";"Additional settings";"ar"
"abt__ut2.banner.params_of_block";"Banner block settings";"ar"
"abt__ut2.banner.params_of_button";"Banner button settings";"ar"
"abt__ut2.banner.params_of_content";"Settings for the content, shown in the banner";"ar"
"abt__ut2.banner.params_of_description";"Banner description settings";"ar"
"abt__ut2.banner.params_of_object";"Banner settings for the object/image";"ar"
"abt__ut2.banner.params_of_title";"Banner title settings";"ar"
"abt__ut2.banner.preview.devices";"Display device";"ar"
"abt__ut2.banner.preview.height_banner";"Banner height (px)";"ar"
"abt__ut2.banner.preview.landscape_orientation";"Landscape screen orientation";"ar"
"abt__ut2.banner.preview.width_section";"Section width (in layout)";"ar"
"abt__ut2.banner.pre_title";"Above title";"ar"
"abt__ut2.banner.products_template.grid_items";"Grid";"ar"
"abt__ut2.banner.products_template.links_thumb";"Thumbnails";"ar"
"abt__ut2.banner.products_template.small_items";"Small elements";"ar"
"abt__ut2.banner.thin_font";"Thin font";"ar"
"abt__ut2.banner.use_own_info";"Use own value";"ar"
"abt__ut2.banner.warning";"Expert banner settings";"ar"
"abt__ut2.banners";"Banners";"ar"
"abt__ut2.banners.manage";"AB: UniTheme2: Advanced banners";"ar"
"abt__ut2.banners.preview";"Preview banner";"ar"
"abt__ut2.banners.view_preview";"View in new tab";"ar"
"abt__ut2.banner_tab.general";"General (Desktop)";"ar"
"abt__ut2.banner_tab.mobile";"Phone";"ar"
"abt__ut2.banner_tab.tablet";"Tablet";"ar"
"abt__ut2.block.abt__ut_big_size_title";"AB: Title size";"ar"
"abt__ut2.block.abt__ut_big_size_title.big";"Large";"ar"
"abt__ut2.block.abt__ut_big_size_title.biggest";"Largest";"ar"
"abt__ut2.block.abt__ut_big_size_title.normal";"Standard";"ar"
"abt__ut2.block.abt__ut_center_title";"AB: Title centered";"ar"
"abt__ut2.block.abt__ut_title_line_decoration";"AB: Decorate title with a stripe";"ar"
"abt__ut2.block.abt__ut_title_opacity";"AB: Decrease title contrast";"ar"
"abt__ut2.block.availability.show_on";"!!! Only for AB: UniTheme2 when using the setting <b>[show_on]</b> block content will be cut from HTML-code for the corresponding device and is not simply hidden by styles";"ar"
"abt__ut2.block.item_quantity_mobile";"AB: Number of elements (mobile)";"ar"
"abt__ut2.block.item_quantity_sm_desktop";"AB: Number of elements (small laptop)";"ar"
"abt__ut2.block.item_quantity_tablet";"AB: Number of elements (tablet)";"ar"
"abt__ut2.block.name";"<div style=""width: 800px;max-width: 80vw;padding-left: 180px;text-align: left;color: silver;"">In the block title you can use the following html tags for design: <code>&lt;mark&gt;text&lt;/mark&gt;, &lt;u&gt;text&lt;/u&gt;, &lt;b&gt;text&lt;/b&gt;</code></div>";"ar"
"abt__ut2.block.open_on_sticky_panel_button";"Open the menu with the button ""Main menu"" of the sticky navigation panel";"ar"
"abt__ut2.block.open_on_sticky_panel_button.tooltip";"For blocks only that were added with the theme AB: UniTheme2";"ar"
"abt__ut2.block.skeleton.description";"The settings will be applied to blocks that are loaded into sections with the ""Use delayed loading of section"" setting enabled";"ar"
"abt__ut2.block.skeleton.height";"Skeleton height (px)";"ar"
"abt__ut2.block.skeleton.height_desktop";"PC";"ar"
"abt__ut2.block.skeleton.height_mobile";"Mobile";"ar"
"abt__ut2.block.skeleton.height_tablet";"Tablet";"ar"
"abt__ut2.block.skeleton.not_allowed_for_this_block";"Skeleton settings are disabled for this block as lazy load is forbidden for this block or template. Block will be always loaded together with the page, in spite of the settings of a parent section.";"ar"
"abt__ut2.block.skeleton.title";"AB: Skeleton settings";"ar"
"abt__ut2.block.thumbnail_height";"AB: Thumbnail height";"ar"
"abt__ut2.block.thumbnail_width";"AB: Thumbnail width";"ar"
"abt__ut2.blog.there_are_offers";"Recommendations";"ar"
"abt__ut2.blog.there_is_video";"Video";"ar"
"abt__ut2.brands";"Brands";"ar"
"abt__ut2.city_short";"c.";"ar"
"abt__ut2.class_was_copied";"Icon class was copied to clipboard";"ar"
"abt__ut2.clone_theme";"<p><b>Attention. All cloned themes made from original theme AB: UniTheme2 couldn't be updated through ""Upgrade center""!</b></p><p>""Upgrade center"" updates basic Theme only in the directory <code>design/themes/abt__unitheme2</code>.</p><p>Do not use cloned theme for permanent usage.</p><p>Use cloned theme for familiarization or temporary developing only.</p>";"ar"
"abt__ut2.clone_theme.notification";"<b>AB: UniTheme2.</b> There is a cloned theme used from AB: UniTheme2, therefore, the theme couldn't be updated through ""Upgrade center"". For more information see <a target=""_blank"" href=""https://docs.cs-cart.abt.team/en/abt__unitheme2.doc#p-3141"">the documentation</a>.<br>To switch off the message change the setting <a target=""_blank"" href=""[link]"">Check the usage of cloned themes</a>.";"ar"
"abt__ut2.clone_themes.notification";"<b>AB: UniTheme2.</b> The following storefronts ([storefront_list]) are used at cloned themes from AB: UniTheme2, that's the reason why the themes on such storefronts couldn't be updated through ""Upgrade center"". For more information see <a target=""_blank"" href=""https://docs.cs-cart.abt.team/en/abt__unitheme2.doc#p-3141"">the documentation</a>.<br>To switch off the message, change the setting <a target=""_blank"" href=""[link]"">Check the usage of cloned themes</a>.";"ar"
"abt__ut2.contacts";"اتصل بنا";"ar"
"abt__ut2.contacts.address";"Address";"ar"
"abt__ut2.contacts.email";"E-mail address";"ar"
"abt__ut2.contacts.phone_1";"Phone 1";"ar"
"abt__ut2.contacts.phone_2";"Phone 2";"ar"
"abt__ut2.contacts.phone_3";"Phone 3";"ar"
"abt__ut2.contacts.phone_4";"Phone 4";"ar"
"abt__ut2.contacts.phone_5";"Phone 5";"ar"
"abt__ut2.contacts.working_hours";"Business hours";"ar"
"abt__ut2.copy_banner";"Clone";"ar"
"abt__ut2.delete_from_wishlist.tooltip";"Delete from wishlist";"ar"
"abt__ut2.demo.place_into_blocks";"Place into blocks";"ar"
"abt__ut2.demodata";"Demo data";"ar"
"abt__ut2.demodata.description";"On this page you can quickly create theme demo data";"ar"
"abt__ut2.demodata.errors.menu_wasnt_created";"Menu [name] failed to create";"ar"
"abt__ut2.demodata.errors.no_blog_page";"You should create the blog`s parent page";"ar"
"abt__ut2.demodata.errors.no_data";"No data.json file";"ar"
"abt__ut2.demodata.success";"were created successfully";"ar"
"abt__ut2.demodata.success.banners";"Banners [ids] were created successfully";"ar"
"abt__ut2.demodata.success.blog";"Blog pages [ids] were created successfully";"ar"
"abt__ut2.demodata.success.menu";"Menu [menus] were created successfully";"ar"
"abt__ut2.demodata.table.add_banners";"Add demo banners";"ar"
"abt__ut2.demodata.table.add_blog";"Add demo blog";"ar"
"abt__ut2.demodata.table.add_fly_menu";"Add demo-settings for ""AB: Fly menu"" block";"ar"
"abt__ut2.demodata.table.add_menu";"Add demo menu with icons and banners";"ar"
"abt__ut2.demodata.table.add_products";"Add demo products";"ar"
"abt__ut2.demodata.table.description";"Demo data type";"ar"
"abt__ut2.developer";"Powered by <a href=""https://www.cs-cart.com/"" rel=""nofollow"">CS-Cart</a> and premium theme — <a href=""https://unitheme.net/?sl=en"" rel=""nofollow"">© AB: UniTheme2</a>";"ar"
"abt__ut2.disabled_because_of_core_error";"Setting is disabled because of incompatible errors in CS-Cart version [core_version]";"ar"
"abt__ut2.discussion.asr_title";"Average star rating";"ar"
"abt__ut2.discussion.avr_part1";"Average rating";"ar"
"abt__ut2.discussion.avr_part2";"out of 5";"ar"
"abt__ut2.discussion.new_post_descr";"Tell us something about it and help others to make the right decision";"ar"
"abt__ut2.discussion.new_post_title";"Have you used the product?";"ar"
"abt__ut2.discussion.see_less";"Less";"ar"
"abt__ut2.discussion.see_more";"More";"ar"
"abt__ut2.discussion.star";"[n] Star|[n] Stars";"ar"
"abt__ut2.discussion.verified_buyer";"Verified buyer";"ar"
"abt__ut2.discussion.verified_buyer_bp";"Bought this product";"ar"
"abt__ut2.errors.is_correctly_installed.mv.disabled";"For correct working of UniTheme2 on the CS-Cart Multi-Vendor (used by you) enable add-on UniTheme2 for Multi-Vendor edition of CS-Cart (comes with the theme for this edition) and try again";"ar"
"abt__ut2.errors.is_correctly_installed.mv.uninstalled";"For correct working of UniTheme2 on the CS-Cart Multi-Vendor (used by you), install and enable add-on UniTheme2 for Multi-Vendor edition of CS-Cart (comes with the theme for this edition) and try again";"ar"
"abt__ut2.export";"Export";"ar"
"abt__ut2.export.actions.banners";"Banners";"ar"
"abt__ut2.export.actions.banners.placeholder";"Banners IDs";"ar"
"abt__ut2.export.actions.blog";"Blog";"ar"
"abt__ut2.export.actions.blog.placeholder";"Parent pages IDs";"ar"
"abt__ut2.export.actions.menu";"Menu";"ar"
"abt__ut2.export.actions.menu.placeholder";"Menu IDs";"ar"
"abt__ut2.export.actions.products";"Products";"ar"
"abt__ut2.export.actions.products.placeholder";"Products IDs";"ar"
"abt__ut2.export.description";"On this page you can quickly export the data you need in json format";"ar"
"abt__ut2.export.errors.no_such_type";"No such type of export for the theme";"ar"
"abt__ut2.export.success";"were exported successfully";"ar"
"abt__ut2.export.success.banners";"Banners [ids] were exported successfully";"ar"
"abt__ut2.export.success.blog";"Blog were exported successfully";"ar"
"abt__ut2.export.success.menu";"Menu [ids] were exported successfully";"ar"
"abt__ut2.export.table.data";"Export data";"ar"
"abt__ut2.export.table.description";"Data type";"ar"
"abt__ut2.extended.e";"Extended";"ar"
"abt__ut2.extended.f";"On the full width";"ar"
"abt__ut2.extended.o";"Original";"ar"
"abt__ut2.filter.display_desktop";"Display type at PC";"ar"
"abt__ut2.filter.display_mobile";"Display type at Phone";"ar"
"abt__ut2.filter.display_tablet";"Display type at Tablet";"ar"
"abt__ut2.filter.vendor_location_variant";"Selected location + [range] [suffix]";"ar"
"abt__ut2.fly_menu.back_to";"Back to";"ar"
"abt__ut2.fly_menu.back_to_main";"Back to main";"ar"
"abt__ut2.fly_menu.see_all";"View all products";"ar"
"abt__ut2.fly_menu.state";"State";"ar"
"abt__ut2.fly_menu.state.tooltip";"Set the setting to minimize menu items when loading the page";"ar"
"abt__ut2.fly_menu.title";"Header";"ar"
"abt__ut2.fly_menu.title.tooltip";"Set the setting to show menu header";"ar"
"abt__ut2.fly_menu_content";"Settings AB: Fly menu";"ar"
"abt__ut2.fly_menu_settings_link";"Content settings of the block are located on <a class=""btn btn-secondary"" target=""_blank"" href=""[link]"">this page</a>";"ar"
"abt__ut2.fm.delimiter";"Delimiter";"ar"
"abt__ut2.grid.padding";"Padding";"ar"
"abt__ut2.grid.padding.variants.bottom";"Bottom (large)";"ar"
"abt__ut2.grid.padding.variants.bottom_sm";"Bottom (small)";"ar"
"abt__ut2.grid.padding.variants.none";"None";"ar"
"abt__ut2.grid.padding.variants.top";"Top (large)";"ar"
"abt__ut2.grid.padding.variants.top_bottom";"Top and bottom (large)";"ar"
"abt__ut2.grid.padding.variants.top_bottom_sm";"Top and bottom (small)";"ar"
"abt__ut2.grid.padding.variants.top_sm";"Top (small)";"ar"
"abt__ut2.grid.show_blocks_in_tabs";"View of blocks in tabs";"ar"
"abt__ut2.grid.show_blocks_in_tabs.no";"Without tabs";"ar"
"abt__ut2.grid.show_blocks_in_tabs.without_lazy_load";"In tabs";"ar"
"abt__ut2.grid.show_blocks_in_tabs.with_lazy_load";"In tabs with delayed loading";"ar"
"abt__ut2.grid.tab_description";"The settings below apply only to the theme AB: UniTheme2 layouts sections";"ar"
"abt__ut2.grid.use_lazy_load";"Use delayed loading of section";"ar"
"abt__ut2.grid_settings";"AB: UniTheme2: Additional settings";"ar"
"abt__ut2.help";"Help";"ar"
"abt__ut2.help.doc";"Read <a target='_blank' href='https://cs-cart.alexbranding.com/en/abt__unitheme2.doc'>the documentation</a>.";"ar"
"abt__ut2.hover_to_enlarge";"Hover on image to enlarge";"ar"
"abt__ut2.icons";"Available icons";"ar"
"abt__ut2.icons.class";"Icon class";"ar"
"abt__ut2.icons.info";"On this page you can see the list of icons, available to you in the theme";"ar"
"abt__ut2.icons.ut2_icons";"Theme icons list";"ar"
"abt__ut2.less_settings";"Color scheme settings";"ar"
"abt__ut2.less_settings.addons";"Add-ons";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.block_background";"Block background";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.block_fonts_color";"Text color in the block";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.block_fonts_color.tooltip";"Setting works only if block background matches with website background";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.bordered_block";"Add border for block";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.bordered_block.tooltip";"Setting works only if block background matches with website background";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.bright_color_promotion_title";"Highlight the title of the promotion";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.bright_color_promotion_title.tooltip";"Colors the title of the promotion with the theme color ""Discount Label""";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.rounded_corners_blocks";"Round corners at elements of block";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day.shadow_block";"Add shadow for block";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day_group";"AB: Extended promotions";"ar"
"abt__ut2.less_settings.addons.ab__deal_of_the_day_group_description";"There are settings below that influence elements that are added by the add-on ""AB: Extended promotions""";"ar"
"abt__ut2.less_settings.addons.ab__video_gallery.block_bg";"Block background with video selections";"ar"
"abt__ut2.less_settings.addons.ab__video_gallery_group";"AB: Video gallery of the product";"ar"
"abt__ut2.less_settings.addons.ab__video_gallery_group_description";"Settings for elements that were added with ""AB: Video gallery of the product""";"ar"
"abt__ut2.less_settings.addons_description";"There are settings that take effect on elements which are added by different add-ons";"ar"
"abt__ut2.less_settings.containers";"Containers";"ar"
"abt__ut2.less_settings.containers.header.add_delimiters";"Add dividing strips";"ar"
"abt__ut2.less_settings.containers.header.add_delimiters.tooltip";"Adds dividing strips at the Header of the site, visually separates the blocks ""Categories"", ""Search"", ""Account"" and ""Cart""";"ar"
"abt__ut2.less_settings.containers.header.add_header_mask";"Apply a background mask to the site header";"ar"
"abt__ut2.less_settings.containers.header.add_header_mask.tooltip";"Applies to Light v3 template only";"ar"
"abt__ut2.less_settings.containers.header.height";"Height for the ""Header"" container (px)";"ar"
"abt__ut2.less_settings.containers.header.use_animation_for_not_empty_cart";"Use animation effect for non empty cart";"ar"
