CategoryCode;CategoryPath;Language;Vendor categories fee - Exclusive;Vendor categories fee - Bronze;Vendor categories fee - Silver;Vendor categories fee - Gold;Vendor categories fee - Platinum
"536";"Automotive///Car Parts///Brake Systems";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"537";"Automotive///Car Parts///Transmission Parts";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"538";"Automotive///Car Parts///Electrical Parts";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"539";"Automotive///Car Parts///Filters & Fluids";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"540";"Automotive///Car Parts///Body Parts";"en";"12.00";"12.00";"12.00";"12.00";"12.00"
"541";"Automotive///Auto Accessories///Care Products";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"542";"Automotive///Auto Accessories///Tools & Equipment";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"543";"Automotive///Auto Accessories///Car Electronics";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"544";"Automotive///Auto Accessories///Interior Accessories";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"545";"Automotive///Auto Accessories///Exterior Accessories";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"546";"Automotive///Auto Accessories///Maintenance Items";"en";"11.50";"11.50";"11.50";"11.50";"11.50"
"547";"Electronics & Digital Products///Digital Products///E-Learning";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"548";"Electronics & Digital Products///Digital Products///Art Gallery";"en";"6.10";"6.10";"6.10";"6.10";"6.10"
"549";"Fresh & Local///Fruits from farms///Fruites";"en";"10.50";"10.50";"10.50";"10.50";"10.50"
