vendor,language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
Zagzoog,EN,AUSA18FRTBZ,Cool cast 18700 Btu,Electronics & Digital Products///Electronics,OGeneral,,,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/597-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/597-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/597-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/597-Zagzoog_image_25.jpg
Zagzoog,EN,AUSA25FRTBZ,Cool cast 22800 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/c2845bf5-9acf-45c4-8463-377cdeadc76f.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/598-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/598-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/598-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/598-Zagzoog_image_25.jpg
Zagzoog,EN,AUSA25URTBZ,Hot/Cool cast 22800 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/5da5a13e-c94d-4547-9a76-006b5718ebd8.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/599-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/599-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/599-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/599-Zagzoog_image_25.jpg
Zagzoog,EN,AUSA40FRTBZ,Cool Cast 38600 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/cb46e45e-0674-49ba-b556-60041484fa7e.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/600-Zagzoog_image_27.jpg///https://zagzoog.com/uploads/project_thumb/600-Zagzoog_image_28.jpg///https://zagzoog.com/uploads/project_thumb/600-Zagzoog_image_29.jpg///https://zagzoog.com/uploads/project_thumb/600-Zagzoog_image_30.jpg
Zagzoog,EN,AUSA40URTBZ,Hot/Cool Cast 38600 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/741640df-73a7-43c7-922e-2cc7d0a5034a.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/601-Zagzoog_image_22.jpg///https://zagzoog.com/uploads/project_thumb/601-Zagzoog_image_23.jpg///https://zagzoog.com/uploads/project_thumb/601-Zagzoog_image_24.jpg///https://zagzoog.com/uploads/project_thumb/601-Zagzoog_image_25.jpg
Zagzoog,EN,ASSH24CXTAZ,Cool wall Inv 24000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/edef6c94-0870-4d64-8406-b2248e1cc5ba.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/1074-Zagzoog_image_5.jpg///https://zagzoog.com/uploads/project_thumb/1074-Zagzoog_image_6.jpg///https://zagzoog.com/uploads/project_thumb/1074-Zagzoog_image_8.jpg///https://zagzoog.com/uploads/project_thumb/1074-Zagzoog_image_7.jpg
Zagzoog,EN,ARSH24KLTAZ,Hot/Cool Duct Inverter 22900 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/4ea3352e-f4a2-4eaa-b5df-930911db1cce.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/1176-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1176-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1176-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1176-Zagzoog_image_4.jpg
Zagzoog,EN,ASSH36CXTDZ,Cool wall Inv 36000Btu S.Phase,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/57ad5453-debf-4be4-9db8-d9204e729c89.jpeg""></p>",,0,0,,,0,10,https://zagzoog.com/uploads/project_thumb/1345-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1345-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1345-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1345-Zagzoog_image_4.jpg
Zagzoog,EN,ASSG18CMTAZ,Cool Wall Inverter 18000 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/fbb196d2-70f0-4000-b152-8142d1d886b1.jpeg""></p>",,6210,3199,,,5,10,https://zagzoog.com/uploads/project_thumb/1346-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1346-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1346-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1346-Zagzoog_image_4.jpg
Zagzoog,EN,ASSG24CMTAZ,Cool Wall Inverter 21200 Btu,Electronics & Digital Products///Electronics,OGeneral,"<p><img src=""https://is2or.com/images/products/description_image/9422e200-c343-4e91-b6ef-8ebc7654aa3a.jpeg""></p>",,7245,3899,,,5,10,https://zagzoog.com/uploads/project_thumb/1347-Zagzoog_image_1.jpg///https://zagzoog.com/uploads/project_thumb/1347-Zagzoog_image_2.jpg///https://zagzoog.com/uploads/project_thumb/1347-Zagzoog_image_3.jpg///https://zagzoog.com/uploads/project_thumb/1347-Zagzoog_image_4.jpg
