CategoryCode;CategoryPath;Language;CategoryId
"989";"Fashion & Jewelry///Men///Men Underwear";"en";"989"
"990";"Fashion & Jewelry///Women///Abaya";"en";"990"
"991";"Fashion & Jewelry///Women///Hijab";"en";"991"
"992";"Fashion & Jewelry///Women///Women Kaftan";"en";"992"
"993";"Fashion & Jewelry///Women///Dresses";"en";"993"
"994";"Fashion & Jewelry///Women///Heels";"en";"994"
"995";"Fashion & Jewelry///Women///Women Sandals";"en";"995"
"996";"Fashion & Jewelry///Women///Glasses";"en";"996"
"997";"Fashion & Jewelry///Kids///T-shirts";"en";"997"
"998";"Fashion & Jewelry///Kids///Short Pants";"en";"998"
"999";"Fashion & Jewelry///Kids///Long Pants";"en";"999"
"1000";"Fashion & Jewelry///Kids///Sandals";"en";"1000"
"1001";"Fashion & Jewelry///Kids///Socks";"en";"1001"
"1003";"Fashion & Jewelry///Kids///Backpack";"en";"1003"
"1004";"Fashion & Jewelry///Kids///Underwear";"en";"1004"
"1006";"Sports & Hobbies///Hobbies///Figurines";"en";"1006"
"1007";"Sports & Hobbies///Hobbies///Collectibles";"en";"1007"
"1008";"Sports & Hobbies///Pets///Food";"en";"1008"
"1009";"Sports & Hobbies///Pets///Treats";"en";"1009"
"1010";"Sports & Hobbies///Pets///Toys";"en";"1010"
"1011";"Sports & Hobbies///Pets///Pet Care";"en";"1011"
"1012";"Sports & Hobbies///Pets///Pet Accessories";"en";"1012"
"1022";"Home & Living///Home Textiles///Curtains & Blinds";"en";"1022"
"1023";"Home & Living///Home Textiles///Rugs & Mats";"en";"1023"
"1024";"Home & Living///Home Textiles///Table Linens";"en";"1024"
"1025";"Home & Living///Home Textiles///Cushion Covers";"en";"1025"
"1026";"Home & Living///Home Textiles///Sofa Covers";"en";"1026"
"1027";"Home & Living///Outdoor Living///Outdoor Decorations";"en";"1027"
"1028";"Home & Living///Outdoor Living///BBQ Accessories";"en";"1028"
"1029";"Home & Living///Lighting///Lamps & Shades";"en";"1029"
"1030";"Home & Living///Lighting///Decorative Lights";"en";"1030"
"1031";"Home & Living///Lighting///Candles & Holders";"en";"1031"
"1032";"Home & Living///Lighting///Lanterns";"en";"1032"
"1033";"Home & Living///Cleaning///Cleaning Tools";"en";"1033"
"1034";"Home & Living///Cleaning///Cleanning Supplies";"en";"1034"
"1035";"Home & Living///Cleaning///Waste & Recycling";"en";"1035"
"1036";"Home & Living///Storage & Organizers///Storage Boxes";"en";"1036"
"1037";"Home & Living///Storage & Organizers///Shelving & Cabinets";"en";"1037"
"1038";"Home & Living///Storage & Organizers///Closet Organization";"en";"1038"
"1039";"Home & Living///Storage & Organizers///Shoe Storage";"en";"1039"
"1040";"Home & Living///Storage & Organizers///Utility Storage";"en";"1040"
"1041";"Home & Living///Bedding & Bath///Bedding";"en";"1041"
"1042";"Home & Living///Bedding & Bath///Pillows & Covers";"en";"1042"
"1043";"Home & Living///Bedding & Bath///Bath Towels";"en";"1043"
"1044";"Home & Living///Bedding & Bath///Bathroom Accessories";"en";"1044"
"1045";"Home & Living///Bedding & Bath///Laundry Accessories";"en";"1045"
"1046";"Home & Living///Kitchen & Dining///Cookware";"en";"1046"
"1047";"Home & Living///Kitchen & Dining///Bakeware";"en";"1047"
"1048";"Home & Living///Kitchen & Dining///Dinnerware";"en";"1048"
