language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
ar,DAN-45220,فازلين كريم القدمين ترطيب عميق ٥٥غرام,Health & Beauty///Beauty///Personal Grooming,فازلين,فازلين كريم القدمين ترطيب عميق ٥٥غرام,Vaseline Foot Cream Deep Moisture 55g,23.0,23.0 SAR,piece,0.04,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/078/536/product/880161904827.jpg
en,DAN-13586,Mbeauty Exfoliating Magic Foot 2*20g,Health & Beauty///Beauty///Personal Grooming,Mbeauty,Mbeauty Exfoliating Magic Foot 2*20g,Mbeauty Exfoliating Magic Foot 2*20g,34.5,34.5 SAR,piece,0.06,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/015/427/product/880927316014.jpg
ar,DAN-13586,ام بيوتي الجوارب السحرية لتقشير ٢*٢٠غرام,Health & Beauty///Beauty///Personal Grooming,ام بيوتي,ام بيوتي الجوارب السحرية لتقشير ٢*٢٠غرام,Mbeauty Exfoliating Magic Foot 2*20g,34.5,34.5 SAR,piece,0.06,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/015/427/product/880927316014.jpg
en,DAN-28305,Purederm Exfoliating Foot Mask 1pair,Health & Beauty///Beauty///Personal Grooming,Purederm,Purederm Exfoliating Foot Mask 1pair,Purederm Exfoliating Foot Mask 1pair,33.5,33.5 SAR,piece,0.06,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/044/417/product/880905258851.jpg
ar,DAN-28305,بيورديرم قناع تقشير القدم ١مجموعة,Health & Beauty///Beauty///Personal Grooming,بيورديرم,بيورديرم قناع تقشير القدم ١مجموعة,Purederm Exfoliating Foot Mask 1pair,33.5,33.5 SAR,piece,0.06,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/044/417/product/880905258851.jpg
en,DAN-34154,Himalaya Foot Care Cream with Fenugreek & Turmeric 125ml,Health & Beauty///Beauty///Personal Grooming,Himalaya,Himalaya Foot Care Cream with Fenugreek & Turmeric 125ml,Himalaya Foot Care Cream with Fenugreek & Turmeric 125ml,25.5,25.5 SAR,piece,0.12,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/056/684/product/890113850596.jpg
ar,DAN-34154,هيمالايا كريم العناية بالقدمين بالحلبة و الكركم ١٢٥مل,Health & Beauty///Beauty///Personal Grooming,هيمالايا,هيمالايا كريم العناية بالقدمين بالحلبة و الكركم ١٢٥مل,Himalaya Foot Care Cream with Fenugreek & Turmeric 125ml,25.5,25.5 SAR,piece,0.12,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/056/684/product/890113850596.jpg
en,DAN-58985,Nano Glass Foot Grinder,Health & Beauty///Beauty///Personal Grooming,,Nano Glass Foot Grinder,Nano Glass Foot Grinder,1.0,1.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/111/090/product/200047602795.jpg
ar,DAN-58985,جهاز صنفرة القدم بزجاج النانو,Health & Beauty///Beauty///Personal Grooming,,جهاز صنفرة القدم بزجاج النانو,Nano Glass Foot Grinder,1.0,1.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/111/090/product/200047602795.jpg
en,DAN-58900,Bindawood Lavender Foot Care 4 in 1 Set,Health & Beauty///Beauty///Personal Grooming,Bindawood,Bindawood Lavender Foot Care 4 in 1 Set,Bindawood Lavender Foot Care 4 in 1 Set,9.95,9.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/110/930/product/200047506105-1.jpg
ar,DAN-58900,بن داوود مجموعة العناية بالقدمين ٤ في ١ باللافندر,Health & Beauty///Beauty///Personal Grooming,بن داوود,بن داوود مجموعة العناية بالقدمين ٤ في ١ باللافندر,Bindawood Lavender Foot Care 4 in 1 Set,9.95,9.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/110/930/product/200047506105-1.jpg
