language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,20449-445,Suntop Nectar Strawberry & Guava No Added Sugar 125 ML × 18,Supermarket///Retail///Beverages,,,Suntop Nectar Strawberry & Guava No Added Sugar,12.5,12.5,piece,,24,1.88,https://go.farm.com.sa/public/uploads/items/20449/thumbnail_1747159257.webp
en,20462-79,Mountain Dew Soft Drink Plastic 500 ML × 24,Supermarket///Retail///Beverages,,,Mountain Dew Soft Drink Plastic,71.5,71.5,piece,,12,10.73,https://go.farm.com.sa/public/uploads/items/20462/thumbnail_1747159257.webp
en,20464-1870,Vimto Drink Natural Fruit Flavor 250 ML × 6,Supermarket///Retail///Beverages,,,Vimto Drink Natural Fruit Flavor,12.5,12.5,piece,,49,1.88,https://go.farm.com.sa/public/uploads/items/20464/thumbnail_1747159257.webp
en,20636-77,Moussy Malt Beverage Lemon Mint 330 ML × 6,Supermarket///Retail///Beverages,,,Moussy Malt Beverage Lemon Mint,31.95,31.95,piece,,28,4.79,https://go.farm.com.sa/public/uploads/items/20636/thumbnail_1747159257.webp
en,20638-1961,Moussy Malt Beverage Strawberry 330 ML × 6,Supermarket///Retail///Beverages,,,Moussy Malt Beverage Strawberry,31.95,31.95,piece,,33,4.79,https://go.farm.com.sa/public/uploads/items/20638/thumbnail_1757502356.webp
en,20640-77,Moussy Malt Beverage Pomegranate 330 ML × 6,Supermarket///Retail///Beverages,,,Moussy Malt Beverage Pomegranate,31.95,31.95,piece,,40,4.79,https://go.farm.com.sa/public/uploads/items/20640/thumbnail_1747159257.webp
en,20643-996,Nada Nectar Strawberry 1.3 L,Supermarket///Retail///Beverages,,,Nada Nectar Strawberry,7.5,7.5,piece,,6,1.13,https://go.farm.com.sa/public/uploads/items/20643/thumbnail_1747159257.webp
en,20646-996,Nada Nectar Guava 1.3 L,Supermarket///Retail///Beverages,,,Nada Nectar Guava,7.5,7.5,piece,,22,1.13,https://go.farm.com.sa/public/uploads/items/20646/thumbnail_1747159257.webp
en,20837-115,Nescafe Coffee Mocha Ice 3×1 25 G,Supermarket///Retail///Beverages,,,Nescafe Coffee Mocha Ice 3×1,3.95,3.95,piece,,397,0.59,https://go.farm.com.sa/public/uploads/items/20837/thumbnail_1754304187.webp
en,20909-1191,Sun Cola Drink 250 ML × 18,Supermarket///Retail///Beverages,,,Sun Cola Drink,30.5,30.5,piece,,5,4.58,https://go.farm.com.sa/public/uploads/items/20909/thumbnail_1747159105.webp
en,21017-37,El Corte Ingles Pleasure Drink 1 L,Supermarket///Retail///Beverages,,,El Corte Ingles Pleasure Drink,14.95,14.95,piece,,16,2.24,https://go.farm.com.sa/public/uploads/items/21017/thumbnail_1747159105.webp
en,21159-38,Captain Drink Raspberry 250 ML,Supermarket///Retail///Beverages,,,Captain Drink Raspberry,2.0,2,piece,,85,0.3,https://go.farm.com.sa/public/uploads/items/21159/thumbnail_1747159105.webp
en,17632-1012,Pepsi Soft Drink 12X1 L,Supermarket///Retail///Beverages,,,Pepsi Soft Drink,59.95,59.95,piece,,707,8.99,https://go.farm.com.sa/public/uploads/items/17632/thumbnail_1747159105.webp
en,21204-63,Original Drink Pineapple 1.4 L,Supermarket///Retail///Beverages,,,Original Drink Pineapple,10.5,10.5,piece,,42,1.58,https://go.farm.com.sa/public/uploads/items/21204/thumbnail_1747159105.webp
en,21269-59,KDD Juice Pineapple 180 ML × 24,Supermarket///Retail///Beverages,,,KDD Juice Pineapple,41.0,41,piece,,38,6.15,https://go.farm.com.sa/public/uploads/items/21269/thumbnail_1747159105.webp
en,21288-2356,Gatorade Energy Drink Fruit Punch 495 ML,Supermarket///Retail///Beverages,,,Gatorade Energy Drink Fruit Punch,6.25,6.25,piece,,181,0.94,https://go.farm.com.sa/public/uploads/items/21288/thumbnail_1747159105.webp
en,21292-30,Rani Drink Orange 200 ML,Supermarket///Retail///Beverages,,,Rani Drink Orange,2.25,2.25,piece,,29,0.34,https://go.farm.com.sa/public/uploads/items/21292/thumbnail_1747159105.webp
en,21296-38,Caesar Juice Lemon and Mint 250 ML,Supermarket///Retail///Beverages,,,Caesar Juice Lemon and Mint,3.0,3,piece,,117,0.45,https://go.farm.com.sa/public/uploads/items/21296/thumbnail_1747159105.webp
en,21305-63,Original Juice Apple No Sugar 1.4 L,Supermarket///Retail///Beverages,,,Original Juice Apple No Sugar,10.5,10.5,piece,,4,1.58,https://go.farm.com.sa/public/uploads/items/21305/thumbnail_1747159105.webp
en,21321-48,Luna Iced Coffee Caramel Flavor 240 ML,Supermarket///Retail///Beverages,,,Luna Iced Coffee Caramel Flavor,4.95,4.95,piece,,52,0.74,https://go.farm.com.sa/public/uploads/items/21321/thumbnail_1747159105.webp
en,21324-37,Danya Juice White Grape 1 L,Supermarket///Retail///Beverages,,,Danya Juice White Grape,12.95,12.95,piece,,10,1.94,https://go.farm.com.sa/public/uploads/items/21324/thumbnail_1747159105.webp
en,21325-38,Code Red Energy Drink Zero Sugar 250 ML,Supermarket///Retail///Beverages,,,Code Red Energy Drink Zero Sugar,5.0,5,piece,,87,0.75,https://go.farm.com.sa/public/uploads/items/21325/thumbnail_1747159105.webp
en,21327-35,Heineken Malt Beverage Liquor Non-alcoholic 330 ML,Supermarket///Retail///Beverages,,,Heineken Malt Beverage Liquor Non-alcoholic,9.75,9.75,piece,,2379,1.46,https://go.farm.com.sa/public/uploads/items/21327/thumbnail_1747159105.webp
en,21337-30,Almarai Juice Mixed Fruit Pomegranate No Added Sugar 200 ML,Supermarket///Retail///Beverages,,,Almarai Juice Mixed Fruit Pomegranate No Added Sugar,2.0,2,piece,,42,0.3,https://go.farm.com.sa/public/uploads/items/21337/thumbnail_1747159105.webp
en,21340-45,Almarai Juice Mixed Fruit Pomegranate No Added Sugar 300 ML,Supermarket///Retail///Beverages,,,Almarai Juice Mixed Fruit Pomegranate No Added Sugar,3.0,3,piece,,30,0.45,https://go.farm.com.sa/public/uploads/items/21340/thumbnail_1747159105.webp
en,21341-45,Nadec Juice Apple 300 ML,Supermarket///Retail///Beverages,,,Nadec Juice Apple,3.0,3,piece,,9,0.45,https://go.farm.com.sa/public/uploads/items/21341/thumbnail_1747159105.webp
en,21348-3126,Floridas Natural Juice Orange With Pulp 1.6 L,Supermarket///Retail///Beverages,,,Floridas Natural Juice Orange With Pulp,22.95,22.95,piece,,38,3.44,https://go.farm.com.sa/public/uploads/items/21348/thumbnail_1747159105.webp
en,21351-3126,Floridas Natural Juice Orange No Pulp 1.6 L,Supermarket///Retail///Beverages,,,Floridas Natural Juice Orange No Pulp,22.95,22.95,piece,,20,3.44,https://go.farm.com.sa/public/uploads/items/21351/thumbnail_1747159105.webp
en,21360-42,7up Drink Sugar Free Can 150 ML,Supermarket///Retail///Beverages,,,7up Drink Sugar Free Can,2.0,2,piece,,472,0.3,https://go.farm.com.sa/public/uploads/items/21360/thumbnail_1747159105.webp
en,21361-47,7UP Soft Drink Lemon Fresh 325 ML,Supermarket///Retail///Beverages,,,7UP Soft Drink Lemon Fresh,2.5,2.5,piece,,1010,0.38,https://go.farm.com.sa/public/uploads/items/21361/thumbnail_1747159105.webp
en,21365-1233,Britvic Drink Lemon 300 ML × 6,Supermarket///Retail///Beverages,,,Britvic Drink Lemon,22.95,22.95,piece,,92,3.44,https://go.farm.com.sa/public/uploads/items/21365/thumbnail_1747159105.webp
en,21368-1168,Pepsi Soft Drink Diet Mini 150 ML × 12,Supermarket///Retail///Beverages,,,Pepsi Soft Drink Diet Mini,19.95,19.95,piece,,82,2.99,https://go.farm.com.sa/public/uploads/items/21368/thumbnail_1747159105.webp
en,21371-1168,Mirinda Soft Drink Orange Minis 150 ML × 12,Supermarket///Retail///Beverages,,,Mirinda Soft Drink Orange Minis,19.95,19.95,piece,,87,2.99,https://go.farm.com.sa/public/uploads/items/21371/thumbnail_1747159105.webp
en,21458-77,Heineken Beverage Drink 330 ML × 6,Supermarket///Retail///Beverages,,,Heineken Beverage Drink,54.95,54.95,piece,,396,8.24,https://go.farm.com.sa/public/uploads/items/21458/thumbnail_1747159105.webp
en,21467-120,Cofique Iced Coffee Pistachio 24 G,Supermarket///Retail///Beverages,,,Cofique Iced Coffee Pistachio,4.25,4.25,piece,,213,0.64,https://go.farm.com.sa/public/uploads/items/21467/thumbnail_1747159105.webp
en,21499-1202,Suntop Drink Berry Mix 180 ML × 18,Supermarket///Retail///Beverages,,,Suntop Drink Berry Mix,26.95,26.95,piece,,6,4.04,https://go.farm.com.sa/public/uploads/items/21499/thumbnail_1747159105.webp
en,2783-45,Nadec Nectar Guava Sugar Free 300 ML,Supermarket///Retail///Beverages,,,Nadec Nectar Guava Sugar Free,3.0,3,piece,,21,0.45,https://go.farm.com.sa/public/uploads/items/2783/thumbnail_1747159000.webp
en,21731-3126,Florida's Natural Lemonade 1.6 L,Supermarket///Retail///Beverages,,,Florida's Natural Lemonade,16.5,16.5,piece,,9,2.48,https://go.farm.com.sa/public/uploads/items/21731/thumbnail_1747159105.webp
en,20456-77,Green Cola Soft Drink Cherry No Added Sugar 330 ML × 6,Supermarket///Retail///Beverages,,,Green Cola Soft Drink Cherry No Added Sugar,32.5,32.5,piece,,70,4.88,https://go.farm.com.sa/public/uploads/items/20456/thumbnail_1747159257.webp
en,21756-1164,Fanta Soft Drink Strawberry Flavor 2.2 L × 6,Supermarket///Retail///Beverages,,,Fanta Soft Drink Strawberry Flavor,44.95,44.95,piece,,24,6.74,https://go.farm.com.sa/public/uploads/items/21756/thumbnail_1747159105.webp
en,21855-1165,Vimto Drink Natural Fruits Blueberry 250 ML × 24,Supermarket///Retail///Beverages,,,Vimto Drink Natural Fruits Blueberry,47.5,47.5,piece,,23,7.13,https://go.farm.com.sa/public/uploads/items/21855/thumbnail_1747159257.webp
en,21861-1165,Vimto Strawberry Drink 250 ML × 24,Supermarket///Retail///Beverages,,,Vimto Strawberry Drink,47.0,47,piece,,12,7.05,https://go.farm.com.sa/public/uploads/items/21861/thumbnail_1747159257.webp
en,22090-3126,Florida's Natural Orange Pineapple Juice 1.6 L,Supermarket///Retail///Beverages,,,Florida's Natural Orange Pineapple Juice,22.95,22.95,piece,,10,3.44,https://go.farm.com.sa/public/uploads/items/22090/thumbnail_1747159631.webp
en,22116-77,Klasse Malt Beverage Non Alcoholic Apple Flavor 330 ML × 6,Supermarket///Retail///Beverages,,,Klasse Malt Beverage Non Alcoholic Apple Flavor,24.95,24.95,piece,,7,3.74,https://go.farm.com.sa/public/uploads/items/22116/thumbnail_1747159631.webp
en,22389-63,Original Drink Mango 1.4 L,Supermarket///Retail///Beverages,,,Original Drink Mango,42.5,42.5,piece,,10,6.38,https://go.farm.com.sa/public/uploads/items/22389/thumbnail_1747159631.webp
en,22391-63,Original Drink Guava 1.4 L,Supermarket///Retail///Beverages,,,Original Drink Guava,42.5,42.5,piece,,10,6.38,https://go.farm.com.sa/public/uploads/items/22391/thumbnail_1747159631.webp
en,21501-1191,Suntop Drink Orange 250 ML × 18,Supermarket///Retail///Beverages,,,Suntop Drink Orange,30.5,30.5,piece,,62,4.58,https://go.farm.com.sa/public/uploads/items/21501/thumbnail_1747159105.webp
en,13671-1177,Lipton Iced Tea Peach 320 ML × 6,Supermarket///Retail///Beverages,,,Lipton Iced Tea Peach,16.5,16.5,piece,,1281,2.48,https://go.farm.com.sa/public/uploads/items/13671/thumbnail_1747159105.webp
en,22540-37,Chios Gardens Nfc 7 Apples Juice 1 L,Supermarket///Retail///Beverages,,,Chios Gardens Nfc 7 Apples Juice,14.95,14.95,piece,,70,2.24,https://go.farm.com.sa/public/uploads/items/22540/thumbnail_1747159631.webp
